Abstraction
Algorithm
Algorithmic thinking
Coding
Collaboration
Cooperation
Creativity
Critical thinking
Debug
Decomposition
Evaluation
Generalization
Logic
Logical thinking
Modularity
Patterns recognition
Problem solving
Programming
