Beginners Computational Thinking test - BCTt
Coding Attitudes Survey - ESCAS
Collaborative Computing Observation Instrument
Competent Computational Thinking test - cCTt
Computational thinking skills test - CTST
Computational concepts
Computational Thinking Assessment for Chinese Elementary
Students - CTA-CES
Computational Thinking Challenge - CTC
Computational Thinking Levels Scale - CTLS
Computational Thinking Scale - CTS
Computational Thinking Skill Levels Scale - CTS
Computational Thinking Test - CTt
Computational Thinking Test for Elementary School Students
Computational Thinking Test for Lower Primary - CTtLP
Computational thinking-skill tasks on numbers and arithmetic
Computerized Adaptive Programming Concepts Test - CAPCT
CT Scale - CTS
Elementary Student Coding Attitudes Survey - ESCAS
General self-efficacy scale
ICT competency test
Instrument of computational identity
KBIT fluid intelligence subtest
Mastery of computational concepts Test and an Algorithmic Test
Multidimensional 21st Century Skills Scale
Self-efficacy scale
STEM learning attitude scale
The computational thinking scale
