Construct-by-self mind mapping
Construct-on-scaffold mind mapping
Design-based learning
Evidence-centred design approach
Gamification
Reverse engineering pedagogy
Technology-enhanced learning
Collaborative learning
Cooperative learning
Flipped classroom
Game-based learning
Inquiry-based learning
Personalized learning
Problem-based learning
Project-based learning
Universal design for learning
